algorithm,runtime,log.runtime
2,36242,10.49797395
2,45785,10.73171181
1,77824,11.26220515
2,43422,10.6787215
1,80949,11.30157461
1,83804,11.33623602
2,35434,10.47542709
1,76643,11.24691356
1,73320,11.2025887
2,30470,10.32449787
1,85137,11.352017
2,44472,10.70261506
2,35532,10.47818898
1,76265,11.2419694
2,39739,10.59008835
2,39010,10.5715733
2,40499,10.60903256
2,38978,10.57075266
1,91926,11.42873918
1,78912,11.27608859
1,70427,11.16233199
1,80195,11.29221645
1,85505,11.35633013
1,113036,11.63546163
1,84206,11.34102146
2,41227,10.62684866
2,36980,10.5181325
2,35545,10.47855478
1,112057,11.62676295
2,46426,10.74561493
2,51993,10.85886437
1,97841,11.49109899
2,85328,11.35425793
2,39399,10.58149571
1,81618,11.3098051
1,81372,11.30678651
1,170272,12.04515244
1,116446,11.66518293
2,47005,10.75800926
1,185275,12.12959649
2,44560,10.70459187
2,50026,10.82029815
2,52378,10.86624193
2,50360,10.82695249
1,117378,11.67315478
2,47663,10.77191069
2,40857,10.61783344
2,48629,10.79197534
2,48283,10.78483481
2,54291,10.90211375
2,35116,10.46641215
1,95184,11.46356714
2,39644,10.58769489
1,83382,11.33118774
1,141639,11.86103685
2,36551,10.50646382
1,122099,11.71258747
1,164321,12.00957711
1,123879,11.72706056
2,48269,10.78454481
2,31482,10.35717123
1,107445,11.58473437
1,98409,11.49688754
1,90839,11.41684399
2,42797,10.66422329
2,41197,10.62612072
2,43120,10.67174221
2,37263,10.52575616
2,38930,10.56952044
2,41453,10.63231553
2,36190,10.49653812
1,82365,11.31891587
2,39977,10.59605957
1,87534,11.37978257
2,42969,10.6682342
1,94856,11.46011523
1,89542,11.40246307
1,92908,11.43936504
2,43319,10.67634662
2,36109,10.49429742
1,103796,11.55018271
1,92811,11.43832045
2,37056,10.52018556
2,36635,10.50875935
1,140269,11.85131729
1,105615,11.56755569
2,36865,10.51501787
2,39072,10.57316138
1,84612,11.34583138
1,79196,11.27968107
1,77080,11.25259912
1,85664,11.35818795
2,32914,10.40165338
2,35859,10.48734986
2,32362,10.38474017
2,43272,10.67526105
1,115894,11.66043126
1,81979,11.3142184
1,82899,11.32537828
2,41650,10.63705665
1,75420,11.23082777
1,72325,11.18892513
2,39226,10.57709507
1,85859,11.36046169
1,79680,11.28577389
1,88207,11.3874416
2,40442,10.60762413
2,31916,10.37086273
2,37683,10.53696434
1,83198,11.32897859
2,40378,10.60604036
1,140224,11.85099642
2,35879,10.48790745
2,44016,10.69230848
2,36109,10.49429742
1,78130,11.26612938
1,101825,11.53101093
1,126364,11.74692191
2,36112,10.4943805
1,85791,11.35966938
2,41267,10.62781843
1,122665,11.71721234
2,40387,10.60626323
2,39305,10.57910702
2,36533,10.50597124
1,78996,11.2771525
2,43696,10.68501184
1,133226,11.79980221
2,37126,10.52207281
1,85560,11.35697316
2,42863,10.66576426
2,32653,10.39369201
1,90687,11.4151693
2,37141,10.52247676
2,34970,10.46224583
1,78277,11.2680091
2,34954,10.46178819
1,83253,11.32963944
1,157226,11.96543954
2,32437,10.38705503
1,78747,11.27399546
2,41367,10.63023874
2,37467,10.53121582
2,41694,10.63811251
2,43952,10.69085341
1,79465,11.28307195
2,36376,10.5016645
1,82494,11.32048084
1,90578,11.41396664
1,92608,11.43613081
1,130597,11.77987152
2,43323,10.67643895
1,125132,11.73712446
1,85475,11.35597921
2,39155,10.57528341
1,83722,11.33525707
2,38517,10.55885498
1,76900,11.25026116
2,36188,10.49648285
2,41455,10.63236378
2,33821,10.42883719
2,38181,10.55009329
2,40211,10.60189587
2,40829,10.61714789
1,86632,11.36942454
1,95696,11.46893178
2,40573,10.6108581
1,91618,11.42538304
2,37259,10.52564881
2,41849,10.64182318
1,117927,11.67782107
2,39761,10.59064181
1,80665,11.29806006
2,36556,10.50660061
1,138684,11.83995324
1,87081,11.374594
1,69516,11.14931222
1,81349,11.30650382
1,70798,11.16758603
2,31629,10.3618297
2,29944,10.30708425
1,117596,11.6750103
1,84374,11.34301458
2,32127,10.37745208
1,75654,11.23392559
2,29777,10.30149156
1,83833,11.336582
1,76209,11.24123484
1,113669,11.641046
1,91618,11.42538304
1,70501,11.16338217
1,82234,11.31732412
2,34771,10.45653899
2,40937,10.61978958
1,93599,11.44677498
2,38776,10.56555678
2,34775,10.45665402
2,36046,10.49255118
1,79632,11.2851713
1,78384,11.2693751
1,84136,11.34018982
1,97198,11.48450541
2,33900,10.43117029
1,114057,11.6444536
1,90963,11.41820811
1,88260,11.38804228
1,94520,11.45656673
1,106426,11.57520519
2,39615,10.58696311
1,81387,11.30697083
2,40967,10.62052214
1,98559,11.49841063
2,34930,10.46110134
1,130688,11.78056808
2,33786,10.42780179
1,84020,11.33881014
2,40196,10.60152277
1,78591,11.27201247
2,40556,10.61043901
2,37236,10.52503131
2,41423,10.63159156
2,34660,10.45334156
2,49667,10.81309601
1,83185,11.32882232
2,36820,10.51379645
1,92605,11.43609841
1,69196,11.14469834
1,79258,11.28046363
2,40529,10.60977305
2,38145,10.54914997
2,41159,10.62519789
2,34554,10.4502786
2,34119,10.43760969
1,92766,11.43783547
2,40666,10.61314764
1,86257,11.36508649
2,40419,10.60705525
1,82669,11.32259996
1,98689,11.49972877
1,85647,11.35798948
2,36394,10.5021592
1,65631,11.09180342
2,36215,10.49722868
2,37719,10.53791923
2,45564,10.72687321
2,36848,10.51455662
2,43045,10.67000136
2,34051,10.43561468
2,35199,10.46877295
2,32382,10.38535799
2,37954,10.54413018
2,41160,10.62522219
2,38764,10.56524726
2,38198,10.55053844
1,81265,11.3054707
1,85717,11.35880645
1,89040,11.39684099
1,95328,11.46507886
2,39436,10.58243438
1,65542,11.09044644
2,34082,10.43652466
2,39858,10.59307842
1,102133,11.53403116
2,41511,10.63371373
2,33791,10.42794977
1,75112,11.22673561
2,38553,10.5597892
2,41142,10.62478478
2,39874,10.59347976
2,34978,10.46247457
2,41181,10.62573226
2,40786,10.61609416
1,82472,11.32021412
2,35269,10.47075967
1,93851,11.4494637
2,39708,10.58930796
2,45490,10.7252478
2,36778,10.51265512
2,36059,10.49291176
1,98667,11.49950582
2,41433,10.63183294
1,90471,11.41278464
2,35590,10.47981998
1,91831,11.42770521
2,38253,10.55197727
1,64377,11.07251171
1,125901,11.74325116
2,39074,10.57321256
1,87601,11.38054769
1,75083,11.22634945
1,79119,11.27870833
2,36775,10.51257355
1,82240,11.31739708
2,37982,10.54486764
1,91947,11.4289676
2,33976,10.43340967
1,83286,11.33003575
1,119397,11.69020935
2,37922,10.5432867
1,81516,11.3085546
1,89527,11.40229553
2,41625,10.63645623
2,34695,10.45435086
1,86628,11.36937837
2,37364,10.52846295
2,39051,10.57262376
1,80221,11.2925406
1,87783,11.38262314
1,80449,11.29537872
1,80788,11.29958372
2,34361,10.44467748
2,44534,10.70400822
1,91855,11.42796653
1,86970,11.37331851
2,37844,10.54122773
2,40614,10.61186811
1,77110,11.25298825
1,119788,11.69347879
1,85863,11.36050828
2,43223,10.67412804
1,81498,11.30833376
1,98056,11.49329402
1,124907,11.73532474
2,41225,10.62680015
2,36092,10.49382651
1,78836,11.27512502
2,35080,10.46538645
1,71793,11.18154226
2,42828,10.66494737
2,38604,10.56111118
2,43185,10.67324849
1,99930,11.51222522
1,84321,11.34238622
2,33837,10.42931016
2,37213,10.52441344
2,35501,10.47731614
1,103391,11.5462732
2,37220,10.52460153
1,148161,11.9060548
2,31461,10.35650396
1,87528,11.37971402
1,82719,11.3232046
2,43119,10.67171901
1,87086,11.37465142
1,103633,11.54861109
2,41089,10.62349572
2,45050,10.71552826
1,83180,11.32876221
2,35222,10.46942617
2,31611,10.36126044
1,80624,11.29755165
2,38601,10.56103346
1,71270,11.17423076
1,64333,11.071828
1,92156,11.43123807
1,82972,11.32625848
2,37877,10.54209935
1,80048,11.29038173
1,74921,11.2241895
1,76948,11.25088515
1,92508,11.43505041
2,43480,10.68005634
1,85556,11.35692641
2,42619,10.66005544
1,89126,11.39780638
2,39967,10.59580939
2,39678,10.58855216
2,34659,10.45331271
1,77622,11.25960617
1,78063,11.26527147
1,151690,11.92959424
1,82031,11.3148525
1,91032,11.41896637
1,78304,11.26835397
1,81754,11.31147002
2,36931,10.51680659
2,36984,10.51824067
1,77825,11.262218
1,94874,11.46030497
2,28974,10.27415416
2,45179,10.71838766
1,83981,11.33834586
1,170864,12.0486232
1,75405,11.23062886
1,97643,11.48907325
1,98405,11.49684689
2,36964,10.51769975
2,35418,10.47497544
1,83406,11.33147553
1,200028,12.20621264
2,38941,10.56980296
2,33935,10.43220221
1,115631,11.65815937
1,70435,11.16244558
1,82453,11.31998371
1,86599,11.36904355
2,42345,10.65360563
1,80210,11.29240347
2,37419,10.52993388
2,36476,10.50440979
2,39417,10.58195247
1,95146,11.46316783
2,39253,10.57778315
2,41369,10.63028709
2,41323,10.62917452
1,91969,11.42920684
2,51347,10.84636179
2,40440,10.60757467
2,38597,10.56092983
2,41758,10.63964633
2,41508,10.63364146
1,80130,11.29140559
1,120350,11.69815944
1,216679,12.28617227
1,83027,11.32692114
1,77017,11.25178146
1,77467,11.25760732
1,77915,11.26337377
2,35375,10.47376063
2,30582,10.32816688
2,36679,10.50995966
1,81686,11.31063791
1,91313,11.42204844
2,33046,10.40565581
1,80524,11.29631056
1,78089,11.26560448
1,71550,11.17815178
2,38052,10.54670892
1,74343,11.2164448
1,82492,11.3204566
2,36041,10.49241246
1,75003,11.22528339
1,91743,11.42674647
2,36385,10.50191188
1,62472,11.04247374
2,39427,10.58220614
1,84831,11.34841632
2,41556,10.63479719
2,38825,10.56681965
1,74909,11.22402932
2,41775,10.64005335
2,38471,10.55765999
2,38705,10.56372407
2,42964,10.66811783
2,33199,10.41027503
2,41316,10.62900511
2,42344,10.65358201
1,108443,11.59397997
2,42731,10.66267993
2,40999,10.62130296
1,82981,11.32636694
1,78963,11.27673467
1,89185,11.39846814
2,41484,10.63306309
1,92571,11.4357312
2,43602,10.6828583
2,40247,10.60279075
1,72275,11.18823357
1,136633,11.82505378
2,36283,10.49910459
1,114508,11.64839997
2,38570,10.56023005
1,79477,11.28322295
2,28930,10.2726344
1,71316,11.17487599
2,36095,10.49390963
1,74046,11.2124418
1,76361,11.24322737
1,84076,11.33947643
2,41033,10.6221319
2,31767,10.36618329
1,83572,11.33346381
2,37701,10.5374419
2,43732,10.68583538
1,101294,11.52578246
2,34995,10.46296047
1,87511,11.37951978
2,42963,10.66809456
2,32123,10.37732756
2,39475,10.58342284
1,75867,11.23673709
2,36458,10.50391619
1,104267,11.5547102
2,39798,10.59157194
1,75893,11.23707973
2,38344,10.55435334
2,46188,10.7404753
2,44355,10.69998072
1,84775,11.34775597
2,34546,10.45004705
1,90904,11.41755928
1,128505,11.76372309
2,33249,10.41177997
1,72984,11.19799552
2,37512,10.53241616
1,111884,11.6252179
2,38239,10.55161122
1,94491,11.45625987
1,86118,11.36347373
2,43385,10.67786904
2,41584,10.63547076
1,96477,11.47705992
2,35234,10.4697668
2,38302,10.55325739
1,106892,11.57957426
2,35555,10.47883607
2,38860,10.56772072
1,75073,11.22621625
2,35309,10.47189317
1,122886,11.71901238
2,38992,10.57111178
2,41433,10.63183294
1,92785,11.43804027
2,35666,10.48195313
2,39369,10.58073398
2,37916,10.54312847
1,70751,11.16692195
2,39181,10.57594721
2,40586,10.61117846
2,38473,10.55771198
1,68575,11.13568332
2,33160,10.40909961
1,84747,11.34742563
1,86941,11.37298501
2,32379,10.38526534
2,43882,10.68925949
2,35354,10.47316682
2,41148,10.6249306
2,31618,10.36148186
2,38381,10.55531782
2,30785,10.33478284
2,38608,10.56121479
1,82218,11.31712954
1,86962,11.37322652
1,79037,11.27767138
1,70725,11.1665544
1,78965,11.27676
2,34753,10.45602118
1,96714,11.47951345
2,33791,10.42794977
1,103833,11.55053912
1,81209,11.30478136
2,34618,10.45212906
1,94395,11.45524338
1,99875,11.51167468
2,41617,10.63626402
2,36527,10.50580699
1,101711,11.52989074
1,80267,11.29311386
2,37876,10.54207295
2,37689,10.53712355
1,85182,11.35254542
2,42325,10.65313321
2,39811,10.59189853
2,39481,10.58357482
2,41556,10.63479719
2,36011,10.49157973
2,40948,10.62005825
2,38972,10.57059872
2,38410,10.55607312
1,80457,11.29547816
1,91699,11.42626675
2,32695,10.39497744
1,103402,11.54637958
1,101682,11.52960558
2,40392,10.60638702
1,100237,11.51529266
2,40520,10.60955096
2,44284,10.69837872
2,36993,10.51848398
2,41295,10.62849671
2,39488,10.58375211
2,37160,10.52298819
1,133206,11.79965208
1,85398,11.35507796
2,31952,10.37199006
1,75615,11.23340996
2,44555,10.70447966
2,36923,10.51658994
2,38555,10.55984107
1,84506,11.34457782
1,96040,11.47252005
2,40448,10.60777248
2,33916,10.43164216
1,77513,11.25820094
2,45761,10.73118748
2,30652,10.33045319
2,38773,10.56547941
2,38698,10.5635432
1,94246,11.45366366
1,85317,11.35412901
1,85754,11.35923801
1,80161,11.29179239
1,107102,11.58153693
2,38578,10.56043744
1,106305,11.5740676
2,35526,10.4780201
1,82514,11.32072325
1,83924,11.33766691
2,34982,10.46258892
1,85097,11.35154706
2,39878,10.59358007
1,66129,11.09936266
1,95452,11.46637878
2,39258,10.57791052
1,90186,11.40962948
1,95585,11.46777118
2,34234,10.44097458
2,35198,10.46874454
1,84593,11.3456068
2,35877,10.4878517
2,50339,10.8265354
2,35313,10.47200645
1,88658,11.39254155
1,105224,11.56384669
2,47292,10.76409643
1,95221,11.46395578
1,100034,11.51326541
2,35761,10.48461319
1,122317,11.71437131
1,82371,11.31898871
2,31132,10.34599151
1,75506,11.2319674
1,105242,11.56401774
2,43923,10.69019338
1,79273,11.28065287
2,31931,10.3713326
2,37333,10.52763293
2,31655,10.36265139
2,32395,10.38575937
1,74155,11.21391278
1,78589,11.27198702
1,69443,11.14826155
2,44926,10.71277197
1,86646,11.36958613
1,90443,11.4124751
1,73963,11.21132025
2,31603,10.36100733
1,80172,11.29192961
2,33436,10.41738844
2,43533,10.68127455
2,42493,10.65709464
1,86859,11.37204139
1,71336,11.17515639
2,36393,10.50213173
1,152079,11.9321554
2,41358,10.63002115
1,69377,11.14731068
2,39689,10.58882935
2,34930,10.46110134
1,85103,11.35161757
1,81521,11.30861593
2,36710,10.51080448
2,33999,10.43408639
2,37796,10.53995856
2,38097,10.54789082
1,250734,12.4321479
1,109855,11.60691659
2,39253,10.57778315
2,36732,10.51140359
2,46964,10.75713663
2,33235,10.41135882
2,42748,10.66307769
1,82610,11.32188602
1,120755,11.70151898
1,84790,11.34793289
1,86921,11.37275494
1,60889,11.01680781
2,33554,10.42091136
2,41434,10.63185708
1,111169,11.61880684
2,40545,10.61016775
2,37123,10.521992
1,77092,11.25275479
1,83673,11.33467162
1,86137,11.36369433
1,107242,11.58284324
1,131949,11.79017076
2,36073,10.49329994
1,89989,11.40744272
1,87703,11.38171139
2,42745,10.66300751
1,83507,11.33268574
2,40405,10.60670882
1,97877,11.49146687
2,38572,10.5602819
1,108949,11.59863516
1,92516,11.43513688
1,125167,11.73740412
1,88447,11.39015878
1,88485,11.39058833
2,41510,10.63368964
2,36612,10.50813133
1,88640,11.3923385
2,40551,10.61031572
2,39275,10.57834346
1,95387,11.46569758
1,116832,11.66849228
1,94995,11.46157954
2,41154,10.62507641
2,42170,10.64946435
2,41028,10.62201004
2,73781,11.20885652
2,36015,10.4916908
2,47674,10.77214145
1,128123,11.76074602
1,133266,11.80010241
2,40994,10.62118099
2,41258,10.62760031
2,37851,10.54141268
1,133131,11.79908888
2,37719,10.53791923
2,33135,10.4083454
2,43715,10.68544657
1,97248,11.4850197
1,79724,11.28632595
1,92677,11.43687561
1,111219,11.61925651
1,68723,11.13783921
1,84690,11.34675281
2,38515,10.55880305
2,33795,10.42806814
2,34955,10.4618168
2,41716,10.63864003
2,36343,10.50075689
1,79718,11.28625069
2,39254,10.57780863
1,72723,11.19441298
1,81153,11.30409154
2,41211,10.62646049
1,76730,11.24804805
1,87210,11.37607428
1,97868,11.49137491
2,39349,10.58022584
1,107595,11.58612946
1,87121,11.37505324
1,88931,11.39561607
1,92642,11.43649788
2,43417,10.67860635
2,37220,10.52460153
1,80837,11.30019006
2,41146,10.624882
1,65371,11.08783401
1,98203,11.49479204
2,35765,10.48472504
1,123071,11.7205167
1,84223,11.34122332
1,75246,11.22851803
2,38839,10.56718018
2,42197,10.65010441
2,32985,10.40380819
1,91093,11.41963624
1,104465,11.55660737
2,36134,10.49498953
1,79776,11.28697799
2,36901,10.51599393
2,35938,10.48955051
2,42985,10.6686065
1,78360,11.26906887
1,79745,11.28658932
2,37798,10.54001147
2,48725,10.79394752
1,89101,11.39752584
1,107544,11.58565535
1,74107,11.21326527
2,37857,10.54157118
1,79002,11.27722845
1,90778,11.41617224
2,36633,10.50870475
1,84563,11.3452521
1,118980,11.68671069
1,82708,11.32307161
1,95787,11.46988226
1,80137,11.29149295
2,34797,10.45728646
2,32427,10.38674669
2,37657,10.53627414
1,116318,11.6640831
1,95929,11.47136361
1,100458,11.51749501
1,124629,11.7330966
1,131247,11.78483632
2,36348,10.50089446
2,36589,10.50750293
2,36581,10.50728426
1,88967,11.39602079
2,29363,10.28749066
1,147918,11.90441335
2,41877,10.64249203
1,83428,11.33173926
1,116850,11.66864634
1,78770,11.27428749
2,37027,10.51940266
1,94124,11.45236834
1,108674,11.59610785
1,86542,11.36838512
1,93410,11.44475368
2,37539,10.53313567
1,89358,11.40040605
2,39154,10.57525787
2,39186,10.57607482
2,40587,10.6112031
2,34383,10.44531754
2,43295,10.67579243
1,89337,11.40017101
2,37731,10.53823732
1,67504,11.11994213
1,87793,11.38273705
1,95729,11.46927656
1,106740,11.57815125
1,87713,11.3818254
2,37803,10.54014374
1,107092,11.58144356
2,36895,10.51583132
1,69875,11.15446321
2,35443,10.47568105
2,38274,10.55252609
2,40152,10.60042753
2,38033,10.54620948
2,40813,10.61675594
1,80304,11.29357471
2,41099,10.62373907
2,40667,10.61317223
1,82034,11.31488907
2,38698,10.5635432
1,152512,11.93499856
1,70706,11.16628571
2,38029,10.54610431
2,41718,10.63868797
1,87109,11.37491549
1,75906,11.23725101
1,78100,11.26574534
2,34600,10.45160896
2,40443,10.60764885
2,37430,10.5302278
1,94247,11.45367427
2,36522,10.5056701
1,81735,11.31123759
2,38304,10.55330961
2,35861,10.48740563
2,41069,10.62300886
1,69667,11.15148203
2,38366,10.55492693
1,77292,11.25534574
2,43299,10.67588482
2,32986,10.40383851
2,34777,10.45671153
2,35892,10.48826971
2,36728,10.51129469
1,76075,11.23947497
1,97755,11.49021963
2,36939,10.51702318
2,39516,10.58446093
1,98212,11.49488369
2,35387,10.4740998
1,89752,11.40480559
2,37781,10.53956161
1,89663,11.40381348
1,76580,11.24609123
1,80720,11.29874166
2,34148,10.4384593
1,131380,11.78584917
1,91585,11.42502278
2,37493,10.53190953
2,40645,10.61263111
2,41235,10.62704269
1,103388,11.54624418
1,96785,11.4802473
2,33071,10.40641204
1,76946,11.25085916
2,36028,10.49205169
2,42990,10.66872281
1,90415,11.41216546
2,43718,10.6855152
2,37772,10.53932337
2,41135,10.62461462
2,40057,10.59805872
1,78376,11.26927304
1,86523,11.36816555
2,35215,10.46922741
1,115549,11.65744996
1,84669,11.34650482
1,82661,11.32250319
1,97125,11.48375409
1,59024,10.98569942
1,93440,11.4450748
2,43878,10.68916833
2,38813,10.56651052
2,35907,10.48868754
1,78167,11.26660284
1,87602,11.38055911
2,40054,10.59798382
1,91307,11.42198273
2,41534,10.63426765
2,35606,10.48026944
2,31039,10.34299976
2,42006,10.64556774
2,30061,10.31098393
2,41894,10.6428979
1,71183,11.1730093
2,34816,10.45783233
1,75371,11.23017786
1,126274,11.74620943
1,83770,11.33583023
1,85801,11.35978594
2,41278,10.62808495
1,85173,11.35243976
2,38872,10.56802948
2,39850,10.59287768
1,93656,11.44738377
1,87853,11.38342024
2,42264,10.65169094
2,41636,10.63672046
2,42787,10.6639896
2,39009,10.57154767
2,36473,10.50432754
1,81795,11.3119714
2,42956,10.66793161
1,88808,11.39423202
1,78523,11.27114685
1,83115,11.32798047
2,42301,10.65256601
2,34340,10.44406613
