503, 2
933, 3
1413, 4
2061, 5
2310, 6
2904, 7
3408, 8
3799, 8
4103, 7
4371, 8
4533, 7
4877, 8
5013, 7
5312, 8
5661, 7
5814, 8
5910, 7
6255, 8
6504, 7
6738, 8
7008, 7
7221, 8
7399, 7
7891, 8
7971, 7
8098, 8
8477, 7
8650, 8
8912, 7
9041, 8
9414, 7
9586, 8
9855, 7
10036, 8
10338, 7
10576, 8
10821, 7
11101, 8
11491, 7
11523, 8
11698, 7
11968, 8
12250, 7
12572, 8
12641, 7
13048, 8
13186, 7
13514, 8
13636, 7
13977, 8
14176, 7
14416, 8
14701, 7
14934, 8
15123, 7
15308, 8
15568, 7
15844, 8
16172, 7
16346, 8
16648, 7
16770, 8
17114, 7
17240, 8
17577, 7
17667, 8
18016, 7
18242, 8
18534, 7
18616, 8
18908, 7
19029, 8
19444, 7
19593, 8
19946, 7
20370, 6
20840, 5
21267, 4
21842, 3
22216, 2
22629, 1
23193, 0
77821, 1
78279, 2
78764, 3
79276, 4
79722, 5
80231, 6
80687, 7
81208, 8
81421, 7
81616, 8
81879, 7
82109, 8
82364, 7
82563, 8
82876, 7
83087, 8
83322, 7
83515, 8
83831, 7
84000, 8
84287, 7
84576, 8
84808, 7
84945, 8
85216, 7
85450, 8
85709, 7
85925, 8
86163, 7
86408, 8
86687, 7
86834, 8
87115, 7
87310, 8
87600, 7
87818, 8
88176, 7
88385, 8
88545, 7
88701, 8
89050, 7
89365, 8
89525, 7
89915, 8
90008, 7
90266, 8
90434, 7
90736, 8
90910, 7
91148, 8
91418, 7
91718, 8
91985, 7
92301, 6
92318, 7
92653, 8
92965, 7
93201, 8
93515, 7
93669, 8
93866, 7
94059, 8
94336, 7
94495, 8
94748, 7
95130, 8
95318, 7
95466, 8
95918, 7
96002, 8
96253, 7
96522, 8
96801, 7
96963, 8
97269, 7
97533, 8
97659, 7
97909, 8
98095, 7
98402, 8
98730, 7
98929, 8
99066, 7
99419, 8
99602, 7
99928, 8
100122, 7
100319, 8
100563, 7
100870, 8
101133, 7
101283, 8
101509, 7
101769, 8
102002, 7
102241, 8
102529, 7
102730, 8
103019, 7
103147, 8
103528, 7
103752, 8
103919, 7
104050, 8
104470, 7
104616, 8
104883, 7
104922, 8
105369, 7
105440, 8
105841, 7
105894, 8
106330, 7
106747, 6
107352, 5
107650, 4
108216, 3
108522, 2
109040, 1
109494, 0
124903, 1
128503, 0
163729, 1
164209, 2
164711, 3
165073, 4
165659, 5
166217, 6
166524, 7
167093, 8
167329, 7
167485, 8
167809, 7
168004, 8
168311, 7
168574, 8
168673, 7
168970, 8
169259, 7
169529, 8
169817, 7
169861, 8
170124, 7
170379, 8
170693, 7
170932, 8
171085, 7
171390, 8
171604, 7
171920, 8
172174, 7
172345, 8
172570, 7
172825, 8
173129, 7
173300, 8
173461, 7
173704, 8
173979, 7
174212, 8
174532, 7
174842, 8
174990, 7
175082, 8
175520, 7
175734, 8
175945, 7
176200, 8
176425, 7
176668, 8
176900, 7
177304, 6
177812, 5
178442, 4
178682, 3
179334, 2
179800, 1
180268, 0
